Country,net_revenue,orders,customers
United Kingdom,16476061.456998272,36534,5410
EIRE,615229.06,626,5
Netherlands,548523.2999999999,228,23
Germany,417429.8910000003,789,107
France,327996.66000000003,622,95
Australia,167061.56999999998,95,15
Switzerland,99706.46000000002,93,22
Spain,91808.15999999999,154,41
Sweden,87775.51999999997,105,19
Denmark,65741.09,43,12
Belgium,63554.98999999998,149,29
Portugal,53068.19999999999,95,24
Japan,43776.579999999994,33,10
Channel Islands,41443.710000000014,55,14
Norway,39243.029999999984,45,13
Italy,30664.89999999999,65,17
Finland,29514.45,57,15
Cyprus,24032.560000000005,37,11
Austria,23177.599999999995,45,13
Greece,18995.489999999998,18,5
Hong Kong,13830.499999999989,15,0
Singapore,13158.159999999998,11,1
Israel,11101.370000000004,10,4
Poland,10528.089999999998,28,6
United Arab Emirates,9948.650000000001,16,4
Unspecified,9678.47,24,7
Lithuania,6553.74,6,1
USA,6286.540000000002,20,9
Iceland,5633.32,8,1
Malta,5192.2199999999975,9,2
Canada,4883.040000000001,8,5
RSA,3369.0300000000007,4,2
Thailand,3070.54,2,1
Bahrain,2861.5499999999993,10,2
Lebanon,1865.9100000000003,2,1
Brazil,1411.8700000000001,2,2
European Community,1291.75,4,1
Bermuda,1253.1399999999999,1,0
Korea,949.8199999999999,2,2
Czech Republic,707.72,2,1
West Indies,536.4099999999999,1,1
Saudi Arabia,131.17,1,1
Nigeria,-6.659999999999997,2,1
