CustomerID,Recency,Frequency,Monetary,TotalUnits,FirstPurchase,LastPurchase,CustomerLifetimeDays,AverageOrderValue,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346.0,326,12,77556.46,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,400,6463.038333333334,2,5,5,255,12,At Risk High Value
12347.0,3,8,5633.32,3286,2010-10-31 14:20:00,2011-12-07 15:52:00,402,704.165,5,4,5,545,14,Champions
12348.0,76,5,2019.3999999999999,2714,2010-09-27 14:59:00,2011-09-25 13:13:00,363,403.88,3,4,4,344,11,Potential Loyalists
12349.0,19,4,4428.6900000000005,1624,2010-04-29 13:20:00,2011-11-21 09:51:00,571,1107.1725000000001,5,3,5,535,13,Loyal Customers
12350.0,311,1,334.40000000000003,197,2011-02-02 16:01:00,2011-02-02 16:01:00,0,334.40000000000003,2,1,2,212,5,Hibernating
12351.0,376,1,300.93,261,2010-11-29 15:23:00,2010-11-29 15:23:00,0,300.93,2,1,2,212,5,Hibernating
12352.0,37,10,2849.84,724,2010-11-12 10:20:00,2011-11-03 14:37:00,356,284.98400000000004,4,5,4,454,13,Champions
12353.0,205,2,406.76,212,2010-10-27 12:44:00,2011-05-19 17:47:00,204,203.38,2,2,2,222,6,Hibernating
12354.0,233,1,1079.4,530,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4,2,1,3,213,6,Hibernating
12355.0,215,2,947.61,543,2010-05-21 11:59:00,2011-05-09 13:49:00,353,473.805,2,2,3,223,7,Hibernating
12356.0,23,6,6371.7300000000005,3416,2010-10-11 09:42:00,2011-11-17 08:40:00,402,1061.9550000000002,4,4,5,445,13,Champions
12357.0,34,3,18287.66,6587,2010-11-16 10:05:00,2011-11-06 16:07:00,355,6095.886666666666,4,3,5,435,12,Loyal Customers
12358.0,2,5,3887.07,1079,2009-12-08 07:59:00,2011-12-08 10:26:00,730,777.414,5,4,5,545,14,Champions
12359.0,58,10,8873.39,2739,2009-12-05 13:32:00,2011-10-13 12:47:00,677,887.3389999999999,4,5,5,455,14,Champions
12360.0,53,8,4252.89,2459,2010-02-22 09:32:00,2011-10-18 15:22:00,603,531.61125,4,4,5,445,13,Champions
12361.0,288,4,511.25,235,2010-01-26 14:37:00,2011-02-25 13:51:00,395,127.8125,2,3,2,232,7,At Risk
12362.0,4,11,5356.2300000000005,2230,2009-12-01 10:10:00,2011-12-06 15:40:00,735,486.93000000000006,5,5,5,555,15,Champions
12363.0,110,2,552.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,133,276.0,3,2,2,322,7,Needs Attention
12364.0,8,4,1313.1,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,105,328.275,5,3,4,534,12,Loyal Customers
12365.0,292,2,641.38,174,2011-02-21 13:51:00,2011-02-21 14:04:00,0,320.69,2,2,3,223,7,Hibernating
12366.0,634,1,500.24,296,2010-03-16 10:28:00,2010-03-16 10:28:00,0,500.24,1,1,2,112,4,Hibernating
12367.0,5,1,168.9,173,2011-12-05 16:48:00,2011-12-05 16:48:00,0,168.9,5,1,1,511,7,New / Promising
12368.0,629,1,917.7,330,2010-03-21 15:56:00,2010-03-21 15:56:00,0,917.7,1,1,3,113,5,Hibernating
12369.0,414,3,1791.15,1241,2010-03-08 08:09:00,2010-10-22 13:13:00,228,597.0500000000001,1,3,4,134,8,At Risk
12370.0,52,7,4316.56,2604,2010-02-09 09:41:00,2011-10-19 14:51:00,617,616.6514285714286,4,4,5,445,13,Champions
12371.0,45,5,4067.38,1436,2010-03-04 18:23:00,2011-10-26 10:16:00,601,813.476,4,4,5,445,13,Champions
12372.0,72,3,1298.04,794,2011-02-16 12:46:00,2011-09-29 12:12:00,225,432.68,3,3,4,334,10,Potential Loyalists
12373.0,312,3,1127.65,516,2010-02-04 12:08:00,2011-02-01 13:10:00,362,375.8833333333334,2,3,3,233,8,At Risk
12374.0,26,4,2989.2200000000003,1362,2010-04-30 14:01:00,2011-11-14 15:37:00,563,747.3050000000001,4,3,5,435,12,Loyal Customers
12375.0,11,2,457.5,178,2011-09-02 14:23:00,2011-11-29 10:36:00,88,228.75,5,2,2,522,9,New / Promising
12376.0,390,2,503.15,240,2010-10-18 08:42:00,2010-11-15 12:15:00,28,251.575,2,2,2,222,6,Hibernating
12377.0,316,4,3426.32,2105,2010-04-29 15:34:00,2011-01-28 15:45:00,274,856.58,2,3,5,235,10,At Risk
12378.0,130,2,5416.32,3316,2010-05-26 14:07:00,2011-08-02 10:34:00,433,2708.16,3,2,5,325,10,Needs Attention
12379.0,82,4,1620.22,815,2010-06-23 12:49:00,2011-09-19 10:09:00,453,405.055,3,3,4,334,10,Potential Loyalists
12380.0,22,11,9676.300000000001,3355,2010-02-15 12:05:00,2011-11-18 11:27:00,641,879.6636363636364,4,5,5,455,14,Champions
12381.0,5,5,1845.31,808,2011-08-12 09:57:00,2011-12-05 12:44:00,115,369.062,5,4,4,544,13,Champions
12383.0,185,5,1850.56,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,168,370.11199999999997,3,4,4,344,11,Potential Loyalists
12384.0,29,2,585.27,126,2011-08-10 11:23:00,2011-11-11 08:39:00,93,292.635,4,2,2,422,8,New / Promising
12385.0,380,1,1938.4,612,2010-11-25 15:14:00,2010-11-25 15:14:00,0,1938.4,2,1,4,214,7,Hibernating
12386.0,338,2,660.8000000000001,568,2010-12-08 09:53:00,2011-01-06 12:37:00,29,330.40000000000003,2,2,3,223,7,Hibernating
12387.0,416,1,143.94,134,2010-10-20 16:27:00,2010-10-20 16:27:00,0,143.94,1,1,1,111,3,Hibernating
12388.0,16,8,3901.11,2001,2010-05-06 12:54:00,2011-11-24 12:30:00,567,487.63875,5,4,5,545,14,Champions
12389.0,403,3,1433.33,614,2010-02-22 10:15:00,2010-11-02 11:52:00,253,477.77666666666664,2,3,4,234,9,At Risk
12390.0,80,1,549.84,353,2011-09-21 09:33:00,2011-09-21 09:33:00,0,549.84,3,1,2,312,6,Needs Attention
12391.0,22,6,2724.84,1204,2010-02-15 10:12:00,2011-11-18 12:07:00,641,454.14000000000004,4,4,4,444,12,Champions
12392.0,592,1,234.75000000000003,73,2010-04-27 14:04:00,2010-04-27 14:04:00,0,234.75000000000003,1,1,1,111,3,Hibernating
12393.0,73,6,2399.45,1311,2010-10-07 13:49:00,2011-09-28 15:41:00,356,399.9083333333333,3,4,4,344,11,Potential Loyalists
12394.0,64,2,1272.48,819,2011-05-06 14:01:00,2011-10-07 08:08:00,154,636.24,3,2,4,324,9,Needs Attention
12395.0,20,15,5067.27,3733,2010-04-16 10:16:00,2011-11-20 15:21:00,583,337.81800000000004,5,5,5,555,15,Champions
12396.0,675,1,931.4300000000001,591,2010-02-03 13:22:00,2010-02-03 13:22:00,0,931.4300000000001,1,1,3,113,5,Hibernating
12397.0,36,2,2409.9,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,100,1204.95,4,2,4,424,10,New / Promising
12398.0,46,1,1635.6599999999999,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,0,1635.6599999999999,4,1,4,414,9,New / Promising
12399.0,120,7,1962.3,2198,2010-03-05 08:45:00,2011-08-12 13:15:00,525,280.3285714285714,3,4,4,344,11,Potential Loyalists
12400.0,415,1,205.25,91,2010-10-21 13:45:00,2010-10-21 13:45:00,0,205.25,1,1,1,111,3,Hibernating
12401.0,304,1,84.3,11,2011-02-09 13:50:00,2011-02-09 13:50:00,0,84.3,2,1,1,211,4,Hibernating
12402.0,324,6,1256.9,584,2010-02-07 12:41:00,2011-01-20 13:49:00,347,209.48333333333335,2,4,4,244,10,At Risk High Value
12403.0,50,2,1019.36,260,2010-07-06 11:39:00,2011-10-21 10:51:00,472,509.68,4,2,3,423,9,New / Promising
12404.0,683,1,63.24,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0,63.24,1,1,1,111,3,Hibernating
12405.0,149,1,1710.39,857,2011-07-14 08:52:00,2011-07-14 08:52:00,0,1710.39,3,1,4,314,8,Needs Attention
12406.0,23,5,6390.36,3416,2010-01-11 14:04:00,2011-11-17 19:22:00,675,1278.072,4,4,5,445,13,Champions
12407.0,50,5,1708.12,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,215,341.62399999999997,4,4,4,444,12,Champions
12408.0,33,8,4340.77,2229,2010-07-29 13:27:00,2011-11-07 12:27:00,466,542.59625,4,4,5,445,13,Champions
12409.0,79,7,23419.29,13143,2010-05-23 15:21:00,2011-09-22 10:38:00,487,3345.612857142857,3,4,5,345,12,Potential Loyalists
