CustomerID,Recency,Frequency,Monetary,TotalUnits,FirstPurchase,LastPurchase,CustomerLifetimeDays,AverageOrderValue,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346.0,326,12,77556.46,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,400,6463.038333333334,2,5,5,255,12,At Risk High Value
16754.0,373,29,67502.47,67831,2010-03-08 11:32:00,2010-12-02 17:38:00,269,2327.671379310345,2,5,5,255,12,At Risk High Value
17850.0,373,155,56600.08,22785,2009-12-05 12:28:00,2010-12-02 15:27:00,362,365.1618064516129,2,5,5,255,12,At Risk High Value
13093.0,276,55,54943.65,26227,2009-12-04 10:32:00,2011-03-09 12:14:00,460,998.9754545454546,2,5,5,255,12,At Risk High Value
13902.0,633,5,34095.26,220600,2009-12-15 10:02:00,2010-03-17 13:09:00,92,6819.052000000001,1,4,5,145,10,At Risk High Value
12482.0,577,29,23691.4,27042,2010-02-24 10:24:00,2010-05-12 16:51:00,77,816.944827586207,1,5,5,155,11,At Risk High Value
14063.0,439,9,22710.2,3850,2009-12-08 13:46:00,2010-09-27 16:18:00,293,2523.355555555556,1,5,5,155,11,At Risk High Value
15808.0,307,21,18133.3,7080,2009-12-01 16:30:00,2011-02-06 14:33:00,432,863.4904761904761,2,5,5,255,12,At Risk High Value
17448.0,498,46,14523.67,11534,2010-03-04 17:29:00,2010-07-30 14:07:00,148,315.7319565217391,1,5,5,155,11,At Risk High Value
15032.0,257,8,13780.65,8259,2009-12-10 15:27:00,2011-03-28 15:03:00,473,1722.58125,2,4,5,245,11,At Risk High Value
13952.0,218,14,12823.521,5947,2009-12-16 09:41:00,2011-05-06 09:00:00,506,915.9657857142857,2,5,5,255,12,At Risk High Value
14134.0,383,15,11123.35,5814,2009-12-10 09:25:00,2010-11-22 12:26:00,347,741.5566666666667,2,5,5,255,12,At Risk High Value
14828.0,197,13,9839.460000000001,9718,2009-12-07 11:19:00,2011-05-27 10:16:00,536,756.8815384615385,2,5,5,255,12,At Risk High Value
17504.0,207,18,9490.17,5420,2010-02-08 09:22:00,2011-05-17 12:59:00,463,527.2316666666667,2,5,5,255,12,At Risk High Value
14439.0,320,5,9443.04,2244,2010-01-21 14:01:00,2011-01-24 11:39:00,368,1888.6080000000002,2,4,5,245,11,At Risk High Value
17230.0,265,18,9388.49,3753,2009-12-08 13:41:00,2011-03-20 16:12:00,467,521.5827777777778,2,5,5,255,12,At Risk High Value
12755.0,281,11,9030.66,3781,2010-01-15 11:57:00,2011-03-04 12:42:00,413,820.9690909090909,2,5,5,255,12,At Risk High Value
13715.0,282,17,8425.69,4907,2010-03-11 15:33:00,2011-03-03 19:21:00,357,495.6288235294118,2,5,5,255,12,At Risk High Value
14160.0,611,7,8421.47,4661,2010-01-10 12:06:00,2010-04-08 14:30:00,88,1203.0671428571427,1,4,5,145,10,At Risk High Value
