month,net_revenue,orders,units_sold
2009-12-01,796648.5000000137,1682,425461.0
2010-01-01,622479.5020000142,1105,390672.0
2010-02-01,530891.7960000074,1201,381879.0
2010-03-01,763247.2409999701,1681,526026.0
2010-04-01,641521.0519999989,1462,366705.0
2010-05-01,613270.7200000106,1500,395868.0
2010-06-01,677073.8699999802,1645,406820.0
2010-07-01,617365.4799999854,1529,337895.0
2010-08-01,654774.3900000092,1425,472380.0
2010-09-01,851105.9609999887,1839,583864.0
2010-10-01,1080611.4799999613,2301,619996.0
2010-11-01,1416697.201999939,2747,725161.0
2010-12-01,1122990.4299999555,1559,538239.0
2011-01-01,558448.5600000109,1086,387099.0
2011-02-01,497026.410000013,1100,282934.0
2011-03-01,682013.9800000208,1454,376599.0
2011-04-01,492367.841000024,1246,307953.0
2011-05-01,722094.1000000113,1681,395001.0
2011-06-01,689977.2300000242,1533,388511.0
2011-07-01,680156.991000027,1475,399693.0
2011-08-01,692448.5200000148,1360,421019.0
2011-09-01,1017596.6820000377,1837,569573.0
2011-10-01,1069368.2300000438,2040,621029.0
2011-11-01,1456145.8000000205,2769,751377.0
2011-12-01,432719.0600000125,819,313613.0
