StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification,IsOperationalRecord,IsMissingDescription,HasCommercialActivity,ProductMasterStatus,CommercialPriority,ReturnRiskFlag,IncludeInExecutiveAnalytics,IsNonMerchandise,IsCommercialMerchandise,ExecutiveScope,ScopeReason,RevenueShare,RevenueRank,ExecutiveProductTier
22423,REGENCY CAKESTAND 3 TIER,344069.3,327345.2,27536,4403,4272,-16724.1,1466,Commercial Description,Valid,0.0486,Low,0.9975,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 1 - Strategic,Low / Not Applicable,True,False,True,Included,Included,0.016933889545922776,1,Tier 1 - Strategic
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262768.47,253378.82,96027,5771,5507,-9389.650000000003,3638,Commercial Description,Valid,0.0357,Low,0.9996,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 1 - Strategic,Low / Not Applicable,True,False,True,Included,Included,0.013107535870867356,2,Tier 1 - Strategic
85099B,JUMBO BAG RED WHITE SPOTTY,183136.14,180959.82,98175,4201,4078,-2176.32,1217,Commercial Description,Valid,0.0119,Low,0.9995,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 1 - Strategic,Low / Not Applicable,True,False,True,Included,Included,0.009361229686978967,3,Tier 1 - Strategic
47566,PARTY BUNTING,149109.35,147870.80000000002,28362,2757,2702,-1238.5500000000002,285,Commercial Description,Valid,0.0083,Low,0.9972,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 1 - Strategic,Low / Not Applicable,True,False,True,Included,Included,0.007649502098296348,4,Tier 1 - Strategic
84879,ASSORTED COLOUR BIRD ORNAMENT,131817.81,131043.74,81590,2933,2829,-774.07,511,Commercial Description,Valid,0.0059,Low,0.9991,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 1 - Strategic,Low / Not Applicable,True,False,True,Included,Included,0.006779021714216743,5,Tier 1 - Strategic
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123002.89,121523.49,36534,2187,2036,-1479.4,596,Commercial Description,Valid,0.012,Low,0.9979,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 1 - Strategic,Low / Not Applicable,True,False,True,Included,Included,0.006286529806745451,6,Tier 1 - Strategic
79321,CHILLI LIGHTS,85157.56,84521.81,16763,1217,1172,-635.75,145,Commercial Description,Valid,0.0075,Low,0.9927,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.004372396463309897,7,Tier 2 - High Value
22197,"POPCORN HOLDER , SMALL",80888.34,80267.77,89860,2535,2421,-620.57,809,Commercial Description,Valid,0.0077,Low,0.9986,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.004152330784986411,8,Tier 2 - High Value
22386,JUMBO BAG PINK WITH WHITE SPOTS,77049.38,76182.4,39809,2328,2270,-866.9800000000001,482,Commercial Description,Valid,0.0113,Low,0.9977,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0039409905718590255,9,Tier 2 - High Value
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74380.07,73745.87,32498,835,767,-634.2,18750,Commercial Description,Valid,0.0085,Low,0.9969,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0038149464756103953,10,Tier 2 - High Value
20725,LUNCH BAG RED SPOTTY,72001.35,70617.6,40752,3220,3135,-1383.75,931,Commercial Description,Valid,0.0192,Low,0.9977,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0036531179879776953,11,Tier 2 - High Value
21137,BLACK RECORD COVER FRAME,69295.72,69213.43000000001,19945,657,642,-82.28999999999999,23,Commercial Description,Valid,0.0012,Low,0.9938,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0035804788911352847,12,Tier 2 - High Value
85099F,JUMBO BAG STRAWBERRY,68382.73000000001,67870.49,37072,1903,1861,-512.24,283,Commercial Description,Valid,0.0075,Low,0.9969,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0035110072824885057,13,Tier 2 - High Value
48138,DOOR MAT UNION FLAG,67629.75,67270.34,10157,1707,1679,-359.41,51,Commercial Description,Valid,0.0053,Low,0.9844,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0034799609319967747,14,Tier 2 - High Value
20685,RED SPOTTY COIR DOORMAT,67812.32,67171.84,9968,1782,1741,-640.48,92,Commercial Description,Valid,0.0094,Low,0.9839,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0034748654299998818,15,Tier 2 - High Value
