CohortMonth,CohortIndex,ActiveCustomers,CohortSize,RetentionRate,Revenue
2009-12-01,1,955,955,100.0,683504.01
2009-12-01,2,337,955,35.287958115183244,394723.981
2009-12-01,3,319,955,33.403141361256544,295931.572
2009-12-01,4,406,955,42.51308900523561,378663.12
2009-12-01,5,363,955,38.010471204188484,305901.29
2009-12-01,6,343,955,35.916230366492144,305066.66
2009-12-01,7,360,955,37.696335078534034,301963.28
2009-12-01,8,327,955,34.24083769633508,312812.83
2009-12-01,9,321,955,33.61256544502618,331787.09
2009-12-01,10,346,955,36.2303664921466,391539.48
2009-12-01,11,403,955,42.19895287958116,460559.66000000003
2009-12-01,12,473,955,49.52879581151832,571512.942
2009-12-01,13,359,955,37.59162303664921,528103.03
2009-12-01,14,270,955,28.272251308900525,308663.89
2009-12-01,15,233,955,24.397905759162303,215062.67
2009-12-01,16,289,955,30.261780104712045,256376.35
2009-12-01,17,251,955,26.282722513089006,163073.421
2009-12-01,18,289,955,30.261780104712045,286209.39
2009-12-01,19,270,955,28.272251308900525,279982.71
2009-12-01,20,248,955,25.968586387434556,254244.84
2009-12-01,21,244,955,25.54973821989529,273833.38
2009-12-01,22,301,955,31.518324607329845,376156.511
2009-12-01,23,291,955,30.471204188481675,414950.35
2009-12-01,24,389,955,40.73298429319372,446632.65
2009-12-01,25,188,955,19.68586387434555,163414.18
2010-01-01,1,383,383,100.0,161078.691
2010-01-01,2,79,383,20.626631853785902,38985.35
2010-01-01,3,119,383,31.070496083550914,50955.47
2010-01-01,4,117,383,30.548302872062667,57400.211
2010-01-01,5,101,383,26.370757180156655,58528.89
2010-01-01,6,115,383,30.026109660574413,60795.090000000004
2010-01-01,7,99,383,25.848563968668408,51990.1
2010-01-01,8,88,383,22.97650130548303,48004.07
2010-01-01,9,107,383,27.93733681462141,60459.54
2010-01-01,10,122,383,31.853785900783286,74544.04
2010-01-01,11,116,383,30.287206266318538,76602.0
2010-01-01,12,66,383,17.232375979112273,61658.79
2010-01-01,13,85,383,22.193211488250654,42528.8
2010-01-01,14,68,383,17.75456919060052,34626.2
2010-01-01,15,72,383,18.79895561357702,48334.91
2010-01-01,16,58,383,15.143603133159269,30963.83
2010-01-01,17,90,383,23.49869451697128,49887.18
2010-01-01,18,76,383,19.843342036553523,40794.9
2010-01-01,19,71,383,18.5378590078329,47788.47
2010-01-01,20,75,383,19.5822454308094,42644.37
2010-01-01,21,93,383,24.281984334203656,59080.64
2010-01-01,22,74,383,19.321148825065272,59783.83
2010-01-01,23,94,383,24.54308093994778,58412.73
