ExecutiveRank,ProductA,ProductA_Description,ProductB,ProductB_Description,AssociationType,CommercialAction,PairOrders,Support,Confidence_A_to_B,Confidence_B_to_A,Lift,ExecutiveScore,BusinessRecommendation
1,22458,CAST IRON HOOK GARDEN FORK,22459,CAST IRON HOOK GARDEN TROWEL,Complementary Cross-Sell,Accessory / Complementary Recommendation,147,0.0040480255548824,0.8596491228070176,0.8546511627906976,181.49592003263973,30.195878292418783,Use as a targeted accessory recommendation or checkout cross-sell.
2,21084,SET/6 COLLAGE PAPER CUPS,21090,SET/6 COLLAGE PAPER PLATES,Complementary Cross-Sell,Accessory / Complementary Recommendation,194,0.0053422922288924,0.8699551569506726,0.697841726618705,113.63867471045585,29.36501650423239,Use as a targeted accessory recommendation or checkout cross-sell.
3,21088,SET/6 FRUIT SALAD PAPER CUPS,21096,SET/6 FRUIT SALAD  PAPER PLATES,Complementary Cross-Sell,Accessory / Complementary Recommendation,109,0.0030015971801509,0.8014705882352942,0.7622377622377622,203.52869189633896,27.060327504171372,Use as a targeted accessory recommendation or checkout cross-sell.
4,21987,PACK OF 6 SKULL PAPER CUPS,21988,PACK OF 6 SKULL PAPER PLATES,Complementary Cross-Sell,Accessory / Complementary Recommendation,312,0.0085917277083218,0.8103896103896104,0.75,70.74155844155844,26.86263673568984,Use as a targeted accessory recommendation or checkout cross-sell.
5,23498,CLASSIC BICYCLE CLIPS ,23552,BICYCLE PUNCTURE REPAIR KIT ,Complementary Cross-Sell,Accessory / Complementary Recommendation,80,0.0022030071046979,0.8080808080808081,0.7017543859649122,257.40917951444266,26.628177256245536,Use as a targeted accessory recommendation or checkout cross-sell.
6,84997c,CHILDRENS CUTLERY POLKADOT BLUE,84997d,CHILDRENS CUTLERY POLKADOT PINK,Coordinated Set,Bundle / Set Recommendation,63,0.0017348680949496,0.84,0.7682926829268293,371.9970731707317,24.82413663995502,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
7,22520,CHILDS GARDEN TROWEL BLUE ,22522,CHILDS GARDEN FORK BLUE ,Complementary Cross-Sell,Accessory / Complementary Recommendation,273,0.0075177617447816,0.7418478260869565,0.8173652694610778,80.65707172611299,24.748889676587694,Use as a targeted accessory recommendation or checkout cross-sell.
8,22521,CHILDS GARDEN TROWEL PINK,22523,CHILDS GARDEN FORK PINK,Complementary Cross-Sell,Accessory / Complementary Recommendation,276,0.0076003745112077,0.745945945945946,0.7863247863247863,77.17458997458998,24.687047096248246,Use as a targeted accessory recommendation or checkout cross-sell.
9,23289,DOLLY GIRL CHILDRENS BOWL,23291,DOLLY GIRL CHILDRENS CUP,Coordinated Set,Bundle / Set Recommendation,152,0.004185713498926,0.7958115183246073,0.7794871794871795,148.20051013558867,24.04510078209195,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
10,22520,CHILDS GARDEN TROWEL BLUE ,22521,CHILDS GARDEN TROWEL PINK,Coordinated Set,Bundle / Set Recommendation,290,0.0079859007545299,0.7880434782608695,0.7837837837837838,77.34327262044653,23.397260533230526,"Evaluate bundled merchandising, coordinated product placement, or multi-item offers."
