StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification,IsOperationalRecord,IsMissingDescription,HasCommercialActivity,ProductMasterStatus,CommercialPriority,ReturnRiskFlag,IncludeInExecutiveAnalytics,IsNonMerchandise,IsCommercialMerchandise,ExecutiveScope,ScopeReason,RevenueShare,RevenueRank,ExecutiveProductTier,RevenuePerOrder,RevenuePerUnit,DescriptionAnomaly,ReturnAnomaly,HighRevenueAnomaly,HighVolumeLowValueAnomaly,ExtremeRevenuePerOrder,ExtremeRevenuePerUnit,AnomalyScore,AnomalySeverity,RecommendedAction
22502,mailout,61466.470000000016,61030.05,3861,984,952,-436.42,86,Commercial Description,Valid,0.0071,Low,0.9568,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0031571445852333,20,Tier 2 - High Value,64.10719537815126,15.806798756798758,True,False,True,False,False,False,2,High Review,Investigate before executive reporting
23203,mailout,42030.34,40953.94,20485,1260,1249,-1076.4,590,Commercial Description,Valid,0.0256,Low,0.9874,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0021185876451841,63,Tier 2 - High Value,32.78938350680544,1.9992160117158897,True,False,True,False,False,False,2,High Review,Investigate before executive reporting
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.51,38733.86,1129,351,350,-5187.65,147,Commercial Description,Valid,0.1181,Moderate,0.8863,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 2 - High Value,Moderate,True,False,True,Included,Included,0.0020037407205825,69,Tier 2 - High Value,110.66817142857143,34.30811337466785,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
22960,mailout addition,39639.31,38588.27,9289,1305,1249,-1051.04,256,Commercial Description,Valid,0.0265,Low,0.9749,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0019962092065142,71,Tier 2 - High Value,30.895332265812648,4.154189902034664,True,False,True,False,False,False,2,High Review,Investigate before executive reporting
22501,mailout,30768.59,29581.74,2637,833,811,-1186.85,134,Commercial Description,Valid,0.0386,Low,0.929,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 2 - High Value,Low / Not Applicable,True,False,True,Included,Included,0.0015302925405235,112,Tier 2 - High Value,36.47563501849569,11.217952218430035,True,False,True,False,False,False,2,High Review,Investigate before executive reporting
23202,mailout,21810.43,21367.97,10941,893,886,-442.46,242,Commercial Description,Valid,0.0203,Low,0.963,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0011053861299954,187,Tier 3 - Established,24.117347629796843,1.953018005666758,True,False,True,False,False,False,2,High Review,Investigate before executive reporting
23209,mailout,21418.82,21353.02,13170,1126,1110,-65.8,40,Commercial Description,Valid,0.0031,Low,0.9655,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0011046127517736,189,Tier 3 - Established,19.236954954954957,1.6213378891419894,True,False,True,False,False,False,2,High Review,Investigate before executive reporting
22655,VINTAGE RED KITCHEN CABINET,13140.0,10819.5,77,69,68,-2320.5,12,Commercial Description,Valid,0.1766,High,0.7275,High Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,High,True,False,True,Included,Included,0.0005597033893947,427,Tier 3 - Established,159.11029411764707,140.51298701298703,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
21769,VINTAGE POST OFFICE CABINET,8562.52,8242.72,134,55,53,-319.8,4,Commercial Description,Valid,0.0373,Low,0.7263,Core Commercial Product,False,False,True,Validated Commercial Product,Tier 3 - Established,Low / Not Applicable,True,False,True,Included,Included,0.0004264040225363,561,Tier 3 - Established,155.52301886792452,61.51283582089552,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
22827,GIANT SEVENTEEN DRAWER SIDEBOARD,7605.0,7025.0,49,43,41,-580.0,4,Commercial Description,Valid,0.0763,Moderate,0.6882,Monitor Return Risk,False,False,True,Validated Commercial Product,Tier 3 - Established,Moderate,True,False,True,Included,Included,0.0003634101677987,636,Tier 3 - Established,171.34146341463415,143.3673469387755,False,False,False,False,True,True,2,High Review,Investigate before executive reporting
