StockCode,GrossRevenue,UnitsSold,SalesLines,SalesOrders,AvgUnitPrice,Description,ReturnValue,ReturnedUnits,ReturnLines,ReturnOrders,NetRevenue,ReturnValueRate,ReturnUnitRate,RevenuePerUnit,RevenuePerOrder,RevenueShare,RevenueRank
22423,344069.3,27536,4041,3918,14.182766641920317,REGENCY CAKESTAND 3 TIER,-16724.1,1466.0,346.0,341.0,327345.2,0.04860677776250307,0.053239395700174316,12.495253486345147,87.81758550280755,1.6884570885910364,1
DOT,322657.48,1436,1436,1415,224.6918384401114,DOTCOM POSTAGE,-10.01,3.0,3.0,3.0,322647.47,3.1023610548250735e-05,0.0020891364902506965,224.6918384401114,228.02648763250883,1.6642260458911988,2
85123A,262768.47000000003,96027,5628,5365,3.0762526652452027,WHITE HANGING HEART T-LIGHT HOLDER,-9389.65,3638.0,135.0,134.0,253378.82000000004,0.03573354900608889,0.037885178126985115,2.736401949451717,48.978279589934765,1.3069361173703855,3
85099B,183136.14,98175,4109,3989,2.333436359211487,JUMBO BAG RED RETROSPOT,-2176.32,1217.0,86.0,83.0,180959.82,0.011883618383569732,0.012396231219760632,1.865405042016807,45.91028829280522,0.9333965820459807,4
47566,149109.35,28362,2729,2674,5.727101502381825,PARTY BUNTING,-1238.5500000000002,285.0,23.0,23.0,147870.80000000002,0.008306320160338705,0.010048656653268458,5.257363726112404,55.76265893792072,0.7627223507649644,5
84879,131817.81,81590,2911,2807,1.8572724149776707,ASSORTED COLOUR BIRD ORNAMENT,-774.07,511.0,19.0,19.0,131043.73999999999,0.005872271736269932,0.006263022429219267,1.6156123299423948,46.960388314926966,0.6759278331207567,6
22086,123002.89,36534,2168,2018,3.3645249077490775,PAPER CHAIN KIT 50'S CHRISTMAS ,-1479.4,596.0,17.0,16.0,121523.49,0.012027359682361936,0.016313570920238683,3.366805988941808,60.95286917740337,0.6268220768803756,7
POST,127597.42,5461,1886,1851,29.290307529162245,POSTAGE,-15256.42,303.0,229.0,226.0,112341.0,0.11956683763668575,0.05548434352682659,23.365211499725326,68.93431658562939,0.579458497602548,8
79321,85157.56,16763,1179,1135,6.271212892281595,CHILLI LIGHTS,-635.75,145.0,21.0,21.0,84521.81,0.007465573226851497,0.00865000298275965,5.080090675893336,75.0286872246696,0.43596621925430623,9
22197,80888.34,89860,2432,2322,1.034346217105263,SMALL POPCORN HOLDER,-620.57,809.0,94.0,90.0,80267.76999999999,0.007671933927683521,0.009002893389717338,0.9001595815713331,34.8356330749354,0.4140237438700641,10
22386,77049.38,39809,2303,2245,2.4214893617021276,JUMBO BAG PINK POLKADOT,-866.98,482.0,25.0,25.0,76182.40000000001,0.011252264456897641,0.012107814815745183,1.9354763998090885,34.32043652561247,0.39295127378033273,11
84347,74380.06999999999,32498,822,756,3.350985401459854,ROTATING SILVER ANGELS T-LIGHT HLDR,-634.2,18750.0,8.0,6.0,73745.87,0.008526477590031847,0.5769585820665887,2.2887583851313926,98.38633597883597,0.3803835735358668,12
20725,72001.35,40752,3140,3056,2.0664426751592355,LUNCH BAG RED RETROSPOT,-1383.75,931.0,80.0,79.0,70617.6,0.019218389655193964,0.022845504515115824,1.7668175795053005,23.560651178010474,0.3642478560836889,13
21137,69295.72,19945,649,634,4.1464098613251155,BLACK RECORD COVER FRAME,-82.29,23.0,7.0,7.0,69213.43000000001,0.0011875192291818312,0.0011531712208573577,3.4743404361995487,109.2992429022082,0.35700510198163743,14
85099F,68382.73,37072,1872,1830,2.2961324786324786,JUMBO BAG STRAWBERRY,-512.24,283.0,26.0,26.0,67870.48999999999,0.007490780201375407,0.007633793698748382,1.844592414760466,37.36761202185792,0.3500781741924031,15
48138,67629.75,10157,1692,1664,8.042381796690307,DOORMAT UNION FLAG,-359.40999999999997,51.0,13.0,13.0,67270.34,0.005314377178682458,0.005021167667618391,6.6584375307669585,40.64287860576923,0.34698258115570085,16
20685,67812.32,9968,1765,1725,8.40843626062323,DOORMAT RED RETROSPOT,-640.48,92.0,13.0,12.0,67171.84000000001,0.009444891429757896,0.009229534510433388,6.803001605136437,39.311489855072466,0.34647451498205234,17
23084,66870.03,30739,1017,994,2.386401179941003,RABBIT NIGHT LIGHT,-208.4,108.0,15.0,15.0,66661.63,0.0031164932930342636,0.0035134519665571424,2.1754133185855102,67.27367203219316,0.3438428353631973,18
22114,63362.35,12420,1676,1583,4.783639618138425,HOT WATER BOTTLE TEA AND SYMPATHY,-795.2,220.0,13.0,13.0,62567.15,0.012550039573974136,0.017713365539452495,5.1016384863124,40.026753000631714,0.32272337559994363,19
82484,62778.72,11046,1208,1176,7.80191225165563,WOOD BLACK BOARD ANT WHITE FINISH,-325.0,49.0,24.0,24.0,62453.72,0.005176913450927321,0.004435994930291508,5.683389462248778,53.38326530612245,0.3221383000052537,20
21931,62257.72,29489,2387,2329,2.5339296187683282,JUMBO STORAGE BAG SUKI,-710.63,390.0,34.0,34.0,61547.090000000004,0.011414327411925782,0.01322527043982502,2.111218420427956,26.731524259338773,0.3174618732538326,21
22502,61466.47,3861,955,924,8.032816753926701,PICNIC BASKET WICKER SMALL,-436.42,86.0,16.0,16.0,61030.05,0.007100131177209298,0.022274022274022275,15.91983164983165,66.52215367965368,0.31479496427491643,22
21843,66348.55,6263,1566,1527,12.207886334610473,RED RETROSPOT CAKE STAND,-5401.599999999999,600.0,159.0,154.0,60946.950000000004,0.0814124800014469,0.09580073447229762,10.593733035286604,43.45026195153897,0.31436633179745255,23
22910,61671.840000000004,19580,1529,1427,3.3026422498364942,PAPER CHAIN KIT VINTAGE CHRISTMAS,-1188.55,449.0,18.0,17.0,60483.29,0.019272167005232856,0.02293156281920327,3.1497364657814098,43.21782761037141,0.3119747585784283,24
21621,60549.54,6931,1319,1292,9.300507960576194,VINTAGE UNION JACK BUNTING,-544.0,64.0,10.0,10.0,60005.54,0.008984378741770788,0.009233876785456644,8.736046746501227,46.86496904024768,0.3095105086854274,25
22112,60644.32,11532,1811,1721,5.853622308117062,CHOCOLATE HOT WATER BOTTLE,-687.48,156.0,13.0,13.0,59956.84,0.01133626364348714,0.013527575442247659,5.258785986819285,35.237838466008135,0.309259312516324,26
85099C,60103.56,31153,1916,1868,2.4097338204592904,JUMBO  BAG BAROQUE BLACK WHITE,-570.88,313.0,26.0,26.0,59532.68,0.009498272648076088,0.010047186466792925,1.9293024748820338,32.17535331905781,0.3070714815699812,27
15056N,58403.79,11366,1054,1033,6.818092979127135,EDWARDIAN PARASOL NATURAL,-840.55,155.0,21.0,21.0,57563.24,0.014392045447735497,0.01363716346999824,5.138464719338378,56.5380348499516,0.2969130465950534,28
22411,58149.35,27669,2250,2192,2.447426666666667,JUMBO SHOPPER VINTAGE RED PAISLEY,-791.52,441.0,22.0,22.0,57357.83,0.013611846048150151,0.015938414832484007,2.10160649101883,26.52798813868613,0.295853535196788,29
