StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification
22423,REGENCY CAKESTAND 3 TIER,344069.3,327345.2,27536,4403,4272,-16724.1,1466,Commercial Description,Valid,0.0486,Low,0.9975,Core Commercial Product
DOT,DOTCOM POSTAGE,322657.48,322647.47,1436,1446,1425,-10.01,3,Commercial Description,Valid,0.0,Low,0.909,Core Commercial Product
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262768.47,253378.82,96027,5771,5507,-9389.650000000003,3638,Commercial Description,Valid,0.0357,Low,0.9996,Core Commercial Product
85099B,JUMBO BAG RED WHITE SPOTTY,183136.14,180959.82,98175,4201,4078,-2176.3199999999997,1217,Commercial Description,Valid,0.0119,Low,0.9995,Core Commercial Product
47566,PARTY BUNTING,149109.35,147870.80000000002,28362,2757,2702,-1238.5500000000002,285,Commercial Description,Valid,0.0083,Low,0.9972,Core Commercial Product
84879,ASSORTED COLOUR BIRD ORNAMENT,131817.81,131043.74,81590,2933,2829,-774.07,511,Commercial Description,Valid,0.0059,Low,0.9991,Core Commercial Product
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123002.89000000001,121523.49,36534,2187,2036,-1479.3999999999999,596,Commercial Description,Valid,0.012,Low,0.9979,Core Commercial Product
POST,POSTAGE,127597.42,112341.0,5461,2122,2084,-15256.42,303,Commercial Description,Valid,0.1196,Moderate,0.9705,Monitor Return Risk
79321,CHILLI LIGHTS,85157.56,84521.81,16763,1217,1172,-635.75,145,Commercial Description,Valid,0.0075,Low,0.9927,Core Commercial Product
22197,"POPCORN HOLDER , SMALL",80888.34,80267.77,89860,2535,2421,-620.57,809,Commercial Description,Valid,0.0077,Low,0.9986,Core Commercial Product
22386,JUMBO BAG PINK WITH WHITE SPOTS,77049.38,76182.4,39809,2328,2270,-866.9800000000001,482,Commercial Description,Valid,0.0113,Low,0.9977,Core Commercial Product
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74380.07,73745.87,32498,835,767,-634.2,18750,Commercial Description,Valid,0.0085,Low,0.9969,Core Commercial Product
20725,LUNCH BAG RED SPOTTY,72001.35,70617.6,40752,3220,3135,-1383.75,931,Commercial Description,Valid,0.0192,Low,0.9977,Core Commercial Product
21137,BLACK RECORD COVER FRAME,69295.72,69213.43000000001,19945,657,642,-82.28999999999999,23,Commercial Description,Valid,0.0012,Low,0.9938,Core Commercial Product
85099F,JUMBO BAG STRAWBERRY,68382.73000000001,67870.49,37072,1903,1861,-512.24,283,Commercial Description,Valid,0.0075,Low,0.9969,Core Commercial Product
48138,DOOR MAT UNION FLAG,67629.75,67270.34,10157,1707,1679,-359.40999999999997,51,Commercial Description,Valid,0.0053,Low,0.9844,Core Commercial Product
20685,RED SPOTTY COIR DOORMAT,67812.32,67171.84,9968,1782,1741,-640.48,92,Commercial Description,Valid,0.0094,Low,0.9839,Core Commercial Product
23084,RABBIT NIGHT LIGHT,66870.03,66661.63,30739,1048,1025,-208.40000000000003,108,Commercial Description,Valid,0.0031,Low,0.9957,Core Commercial Product
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63362.35,62567.15,12420,1695,1600,-795.2,220,Commercial Description,Valid,0.0126,Low,0.9872,Core Commercial Product
82484,WOOD BLACK BOARD ANT WHITE FINISH,62778.72,62453.72,11046,1233,1201,-325.0,49,Commercial Description,Valid,0.0052,Low,0.9854,Core Commercial Product
