StockCode,GrossRevenue,UnitsSold,SalesLines,SalesOrders,Description,ProductCategory,CommercialProduct,RevenueShare
22423,344069.3,27536,4041,3918,REGENCY CAKESTAND 3 TIER,Merchandise,True,1.6460417548464354
M,340327.63,9748,866,784,Manual,Fees / Adjustments,False,1.6281414508877383
DOT,322657.48,1436,1436,1415,DOTCOM POSTAGE,Logistics / Postage,False,1.5436067228129002
85123A,262768.47000000003,96027,5628,5365,WHITE HANGING HEART T-LIGHT HOLDER,Merchandise,True,1.2570952231922843
85099B,183136.14,98175,4109,3989,JUMBO BAG RED RETROSPOT,Merchandise,True,0.8761308645130574
23843,168469.6,80995,1,1,"PAPER CRAFT , LITTLE BIRDIE",Merchandise,True,0.8059655308458995
47566,149109.35,28362,2729,2674,PARTY BUNTING,Merchandise,True,0.7133452945032043
84879,131817.81,81590,2911,2807,ASSORTED COLOUR BIRD ORNAMENT,Merchandise,True,0.6306218523199076
POST,127597.42,5461,1886,1851,POSTAGE,Logistics / Postage,False,0.6104313320911737
22086,123002.89,36534,2168,2018,PAPER CHAIN KIT 50'S CHRISTMAS ,Merchandise,True,0.5884509106356861
79321,85157.56,16763,1179,1135,CHILLI LIGHTS,Merchandise,True,0.40739728740936965
23166,81700.92000000001,78033,250,247,MEDIUM CERAMIC TOP STORAGE JAR,Merchandise,True,0.3908605787536646
22197,80888.34,89860,2432,2322,SMALL POPCORN HOLDER,Merchandise,True,0.38697316244202873
22386,77049.38,39809,2303,2245,JUMBO BAG PINK POLKADOT,Merchandise,True,0.36860741910141315
84347,74380.06999999999,32498,822,756,ROTATING SILVER ANGELS T-LIGHT HLDR,Merchandise,True,0.355837329713522
20725,72001.35,40752,3140,3056,LUNCH BAG RED RETROSPOT,Merchandise,True,0.3444574348984708
21137,69295.72,19945,649,634,BLACK RECORD COVER FRAME,Merchandise,True,0.33151358912912965
85099F,68382.73,37072,1872,1830,JUMBO BAG STRAWBERRY,Merchandise,True,0.3271458072265965
20685,67812.32,9968,1765,1725,DOORMAT RED RETROSPOT,Merchandise,True,0.3244169422061429
48138,67629.75,10157,1692,1664,DOORMAT UNION FLAG,Merchandise,True,0.32354351977879375
23084,66870.03,30739,1017,994,RABBIT NIGHT LIGHT,Merchandise,True,0.31990898789236294
21843,66348.55,6263,1566,1527,RED RETROSPOT CAKE STAND,Merchandise,True,0.3174142060146502
22114,63362.35,12420,1676,1583,HOT WATER BOTTLE TEA AND SYMPATHY,Merchandise,True,0.30312810176669075
82484,62778.72,11046,1208,1176,WOOD BLACK BOARD ANT WHITE FINISH,Merchandise,True,0.30033599171972925
21931,62257.72,29489,2387,2329,JUMBO STORAGE BAG SUKI,Merchandise,True,0.2978435061818594
22910,61671.840000000004,19580,1529,1427,PAPER CHAIN KIT VINTAGE CHRISTMAS,Merchandise,True,0.295040632041884
22502,61466.47,3861,955,924,PICNIC BASKET WICKER SMALL,Merchandise,True,0.29405813347199466
22112,60644.32,11532,1811,1721,CHOCOLATE HOT WATER BOTTLE,Merchandise,True,0.29012493388474003
21621,60549.54,6931,1319,1292,VINTAGE UNION JACK BUNTING,Merchandise,True,0.289671502446584
85099C,60103.56,31153,1916,1868,JUMBO  BAG BAROQUE BLACK WHITE,Merchandise,True,0.2875379156900021
15056N,58403.79,11366,1054,1033,EDWARDIAN PARASOL NATURAL,Merchandise,True,0.27940614574239175
22411,58149.35,27669,2250,2192,JUMBO SHOPPER VINTAGE RED PAISLEY,Merchandise,True,0.2781888942639741
